Country,2020,2021,2022
United States,0.25,0.24,0.25
China,0.17,0.18,0.18
Germany,0.05,0.04,0.04
Japan,0.06,0.05,0.04
France,0.03,0.03,0.03
United Kingdom,0.03,0.03,0.03
India,0.03,0.03,0.03
Australia,0.02,0.02,0.02
Brazil,0.02,0.02,0.02
Canada,0.02,0.02,0.02
Italy,0.02,0.02,0.02
"Korea, Rep.",0.02,0.02,0.02
Russian Federation,0.02,0.02,0.02
United Arab Emirates,0.0,0.0,0.01
Argentina,0.0,0.01,0.01
Belgium,0.01,0.01,0.01
Switzerland,0.01,0.01,0.01
Spain,0.01,0.01,0.01
Indonesia,0.01,0.01,0.01
Ireland,0.0,0.01,0.01
Mexico,0.01,0.01,0.01
Netherlands,0.01,0.01,0.01
Norway,0.0,0.01,0.01
Poland,0.01,0.01,0.01
Saudi Arabia,0.01,0.01,0.01
Sweden,0.01,0.01,0.01
Turkiye,0.01,0.01,0.01
Aruba,0.0,0.0,0.0
Afghanistan,0.0,0.0,0.0
Angola,0.0,0.0,0.0
Albania,0.0,0.0,0.0
Andorra,0.0,0.0,0.0
Armenia,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0
Austria,0.01,0.0,0.0
Azerbaijan,0.0,0.0,0.0
Burundi,0.0,0.0,0.0
Benin,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0
Bangladesh,0.0,0.0,0.0
Bulgaria,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0
"Bahamas, The",0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0
Belarus,0.0,0.0,0.0
Belize,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0
Barbados,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0
Botswana,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0
Chile,0.0,0.0,0.0
Cote d'Ivoire,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0
"Congo, Dem. Rep.",0.0,0.0,0.0
"Congo, Rep.",0.0,0.0,0.0
Colombia,0.0,0.0,0.0
Comoros,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0
Cuba,0.0,0.0,0.0
Curacao,0.0,0.0,0.0
Cayman Islands,0.0,0.0,0.0
Cyprus,0.0,0.0,0.0
Czechia,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0
Dominica,0.0,0.0,0.0
Denmark,0.0,0.0,0.0
Dominican Republic,0.0,0.0,0.0
Algeria,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0
"Egypt, Arab Rep.",0.0,0.0,0.0
Eritrea,0.0,0.0,0.0
Estonia,0.0,0.0,0.0
Ethiopia,0.0,0.0,0.0
Finland,0.0,0.0,0.0
Fiji,0.0,0.0,0.0
Faroe Islands,0.0,0.0,0.0
"Micronesia, Fed. Sts.",0.0,0.0,0.0
Gabon,0.0,0.0,0.0
Georgia,0.0,0.0,0.0
Ghana,0.0,0.0,0.0
Guinea,0.0,0.0,0.0
"Gambia, The",0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0
Greece,0.0,0.0,0.0
Grenada,0.0,0.0,0.0
Greenland,0.0,0.0,0.0
Guatemala,0.0,0.0,0.0
Guam,0.0,0.0,0.0
Guyana,0.0,0.0,0.0
Honduras,0.0,0.0,0.0
